NAMESPACE              LAST SEEN           TYPE      REASON                  OBJECT                                           MESSAGE
preprod-laia-25-03-2026   2m51s                  Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   2m51s                  Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   2m50s                  Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8          Container created
preprod-laia-25-03-2026   2m50s                  Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 1.444s (1.444s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   2m49s                  Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 1.447s (2.235s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   2m48s                  Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-ghgt8          Container started
preprod-laia-25-03-2026   2m48s                  Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz          Container created
preprod-laia-25-03-2026   2m47s                  Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-f6hwz          Container started
preprod-laia-25-03-2026   2m47s                  Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 1.892s (3.868s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   2m47s                  Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch          Container created
preprod-laia-25-03-2026   2m46s                  Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 1.337s (5.137s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   2m44s                  Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts          Container created
preprod-laia-25-03-2026   2m42s                  Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-vdsch          Container started
preprod-laia-25-03-2026   2m40s                  Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-qwvts          Container started
default                   2m2s (x18 over 28m)    Warning   Unhealthy               Pod/netdata-child-94jd2                                 Liveness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
default                   89s                    Normal    Pulled                  Pod/netdata-parent-867c7fb8df-v5h89                     Successfully pulled image "netdata/netdata:v2.9.0" in 1.524s (1.525s including waiting). Image size: 1182500567 bytes.
default                   88s                    Normal    Pulled                  Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Successfully pulled image "netdata/netdata:v2.9.0" in 1.32s (2.824s including waiting). Image size: 1182500567 bytes.
default                   79s                    Normal    Pulled                  Pod/netdata-child-94jd2                                 Successfully pulled image "netdata/netdata:v2.9.0" in 2.455s (2.455s including waiting). Image size: 1182500567 bytes.
preprod-laia-25-03-2026   66s                    Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff
preprod-laia-25-03-2026   66s                    Normal    SuccessfulRescale       HorizontalPodAutoscaler/hpa-ecommerce-laia-25-03-2026   New size: 10; reason: cpu resource utilization (percentage of request) above target
preprod-laia-25-03-2026   66s                    Normal    ScalingReplicaSet       Deployment/ecommerce-laia-25-03-2026                    Scaled up replica set ecommerce-laia-25-03-2026-6c9fbc9f56 from 8 to 10
preprod-laia-25-03-2026   66s                    Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff to minikube
preprod-laia-25-03-2026   66s                    Normal    SuccessfulCreate        ReplicaSet/ecommerce-laia-25-03-2026-6c9fbc9f56         Created pod: ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz
preprod-laia-25-03-2026   65s                    Normal    Scheduled               Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz          Successfully assigned preprod-laia-25-03-2026/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz to minikube
preprod-laia-25-03-2026   61s                    Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   61s                    Normal    Pulling                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff          Pulling image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest"
preprod-laia-25-03-2026   60s                    Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 1.474s (1.475s including waiting). Image size: 1437704278 bytes.
